Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1.0,Max Domi,27.0,LW,60,18,31,49,-9,76,10,8,0,4,21,10,0,143,12.6,1098.0,18:18,3.5,1.3,4.8,18,16,445,383,53.7
2.0,Patrick Kane,34.0,RW,54,16,29,45,-23,10,14,2,0,0,13,16,0,182,8.8,1077.0,19:57,2.9,0.8,3.7,10,10,1,0,100.0
3.0,Andreas Athanasiou,28.0,C,81,20,20,40,-29,34,17,3,0,4,16,4,0,175,11.4,1296.0,16:00,2.2,0.9,3.1,44,43,81,93,46.6
4.0,Taylor Raddysh,24.0,RW,78,20,17,37,-28,16,13,7,0,1,9,8,0,129,15.5,1292.0,16:34,1.9,0.9,2.8,38,82,10,9,52.6
5.0,Seth Jones,28.0,D,72,12,25,37,-38,30,10,2,0,1,14,10,1,178,6.7,1760.0,24:27,2.6,1.8,4.4,125,106,0,0,
6.0,Tyler Johnson,32.0,C,56,12,20,32,-21,16,8,4,0,0,15,5,0,125,9.6,928.0,16:34,1.7,0.6,2.3,25,49,58,55,51.3
7.0,Jonathan Toews,34.0,C,53,15,16,31,-31,43,6,9,0,1,13,3,0,87,17.2,939.0,17:43,1.9,0.3,2.1,23,9,594,347,63.1
8.0,Jason Dickinson,27.0,C,78,9,21,30,-29,28,8,1,0,1,17,0,4,114,7.9,1243.0,15:56,0.3,0.8,1.1,80,112,368,403,47.7
9.0,Philipp Kurashev,23.0,C,70,9,16,25,-32,14,9,0,0,2,12,4,0,116,7.8,1219.0,17:25,-0.1,0.7,0.5,34,38,85,105,44.7
10.0,Sam Lafferty,27.0,C,51,10,11,21,-10,28,6,0,4,1,10,0,1,83,12.0,771.0,15:07,0.9,0.8,1.6,21,94,219,199,52.4
11.0,Jake McCabe,29.0,D,55,2,18,20,7,27,2,0,0,1,18,0,0,67,3.0,1071.0,19:29,0.8,3.3,4.1,115,122,0,0,
12.0,Boris Katchouk,24.0,LW,58,5,11,16,-10,27,5,0,0,2,10,0,1,68,7.4,701.0,12:05,0.1,0.7,0.8,15,85,3,12,20.0
13.0,Caleb Jones,25.0,D,73,4,12,16,-19,40,3,1,0,1,9,3,0,86,4.7,1402.0,19:13,0.2,2.3,2.5,118,116,0,0,
14.0,Lukas Reichel,20.0,LW,23,7,8,15,-8,6,7,0,0,0,5,3,0,42,16.7,376.0,16:22,1.1,0.3,1.4,15,7,5,8,38.5
