Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
15.0,Jujhar Khaira,28.0,LW,51,6,8,14,-11,31,4,1,1,0,7,1,0,59,10.2,708.0,13:53,0.0,0.7,0.6,40,108,154,164,48.4
16.0,Connor Murphy,29.0,D,80,7,6,13,-10,69,5,0,2,0,6,0,0,85,8.2,1551.0,19:23,0.0,3.3,3.3,160,165,0,0,
17.0,Mackenzie Entwistle,23.0,RW,66,4,6,10,-11,14,4,0,0,0,5,1,0,50,8.0,787.0,11:55,-0.8,0.8,-0.1,28,126,93,107,46.5
18.0,Colin Blackwell,29.0,C,53,2,8,10,-16,6,2,0,0,0,7,0,1,53,3.8,625.0,11:48,-0.6,0.4,-0.2,17,49,18,18,50.0
19.0,Anders Bjork,26.0,LW,13,2,6,8,4,2,2,0,0,0,6,0,0,14,14.3,184.0,14:09,0.5,0.4,0.9,4,8,0,2,0.0
20.0,Jarred Tinordi,30.0,D,44,2,6,8,-17,40,2,0,0,1,6,0,0,32,6.3,724.0,16:27,0.1,0.7,0.7,68,139,0,0,
21.0,Ian Mitchell,24.0,D,35,1,7,8,-8,8,1,0,0,0,6,1,0,25,4.0,554.0,15:50,0.2,0.9,1.1,37,16,0,0,
22.0,Joey Anderson,24.0,RW,24,4,2,6,-9,0,4,0,0,1,2,0,0,28,14.3,310.0,12:56,0.1,0.1,0.2,11,19,0,2,0.0
23.0,Cole Guttman,23.0,C,14,4,2,6,1,2,4,0,0,1,2,0,0,26,15.4,204.0,14:34,0.4,0.3,0.7,8,4,88,81,52.1
24.0,Reese Johnson,24.0,F,57,4,2,6,-15,38,4,0,0,1,2,0,0,54,7.4,628.0,11:01,-0.8,0.4,-0.4,23,178,120,106,53.1
25.0,Isaak Phillips,21.0,D,16,1,4,5,-10,5,1,0,0,0,4,0,0,16,6.3,247.0,15:28,0.3,-0.1,0.2,6,27,0,0,
26.0,Jack Johnson,36.0,D,58,0,4,4,-25,16,0,0,0,0,3,0,1,63,0.0,1150.0,19:50,-1.0,1.2,0.2,96,75,0,1,0.0
27.0,Buddy Robinson,31.0,RW,9,1,2,3,1,4,1,0,0,0,2,0,0,13,7.7,106.0,11:46,0.1,0.2,0.3,3,15,1,4,20.0
28.0,Filip Roos,24.0,D,17,1,2,3,-5,4,1,0,0,0,2,0,0,19,5.3,276.0,16:13,0.1,0.4,0.4,20,14,0,0,
29.0,Nikita Zaitsev,31.0,D,18,1,2,3,-4,12,1,0,0,0,2,0,0,10,10.0,275.0,15:17,0.1,0.4,0.5,29,34,0,0,
30.0,Wyatt Kaiser,20.0,D,9,0,3,3,-4,4,0,0,0,0,3,0,0,14,0.0,167.0,18:36,0.1,0.1,0.2,10,5,0,0,
31.0,Austin Wagner,25.0,LW,7,1,1,2,-2,0,1,0,0,1,1,0,0,13,7.7,85.0,12:08,0.1,0.1,0.1,1,19,0,0,
32.0,Petr Mrázek,30.0,G,39,0,2,2,0,4,0,0,0,0,2,0,0,0,,2165.0,55:31,0.0,0.0,5.8,0,1,0,0,
33.0,Dave Gust,28.0,RW,4,1,0,1,-2,2,1,0,0,0,0,0,0,7,14.3,57.0,14:12,0.0,0.0,0.0,1,3,0,0,
34.0,Brett Seney,26.0,LW,7,1,0,1,-2,2,1,0,0,0,0,0,0,9,11.1,92.0,13:08,-0.1,0.1,0.0,4,11,5,8,38.5
35.0,Andreas Englund,27.0,D,11,0,1,1,-2,9,0,0,0,0,1,0,0,11,0.0,164.0,14:53,-0.1,0.3,0.2,13,29,0,0,
36.0,Luke Philp,27.0,F,3,0,1,1,0,2,0,0,0,0,1,0,0,0,,35.0,11:41,0.0,0.1,0.0,0,4,1,3,25.0
37.0,Alex Vlasic,21.0,D,6,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,118.0,19:38,0.0,0.2,0.2,9,5,0,0,
38.0,Mike Hardman,23.0,RW,8,0,0,0,-2,0,0,0,0,0,0,0,0,7,0.0,81.0,10:10,-0.2,0.0,-0.2,6,25,6,4,60.0
39.0,Anton Khudobin,36.0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60.0,60:00,0.0,0.0,-0.2,0,0,0,0,
40.0,Alec Regula,22.0,D,4,0,0,0,-3,4,0,0,0,0,0,0,0,2,0.0,66.0,16:36,-0.1,0.0,-0.1,8,4,0,0,
41.0,Arvid Söderblom,23.0,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,835.0,55:41,0.0,0.0,2.1,0,0,0,0,
42.0,Alex Stalock,35.0,G,27,0,0,0,0,16,0,0,0,0,0,0,0,1,0.0,1475.0,54:39,0.0,0.0,4.9,0,0,0,0,
43.0,Jaxson Stauber,23.0,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,364.0,60:35,0.0,0.0,1.2,0,0,0,0,
44.0,Dylan Wells,25.0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,20.0,20:00,0.0,0.0,0.1,0,0,0,0,
,Team Total,,,82,202,331,533,-433,689,157,38,7,24,253,69,9,2210,9.1,,,18.1,26.1,58.1,1283,1972,2355,2114,52.7
