Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
Petr Mrázek,30.0,G,39,0,2,2,0,4,0,0,0,0,2,0,0,0,,2165.0,55:31,0.0,0.0,5.8,0,1,0,0,
Anton Khudobin,36.0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60.0,60:00,0.0,0.0,-0.2,0,0,0,0,
Arvid Söderblom,23.0,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,835.0,55:41,0.0,0.0,2.1,0,0,0,0,
Alex Stalock,35.0,G,27,0,0,0,0,16,0,0,0,0,0,0,0,1,0.0,1475.0,54:39,0.0,0.0,4.9,0,0,0,0,
Jaxson Stauber,23.0,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,364.0,60:35,0.0,0.0,1.2,0,0,0,0,
Dylan Wells,25.0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,20.0,20:00,0.0,0.0,0.1,0,0,0,0,
