Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
Max Domi,27.0,LW,60,18,31,49,-9,76,10,8,0,4,21,10,0,143,12.6,1098.0,18:18,3.5,1.3,4.8,18,16,445,383,53.7
Patrick Kane,34.0,RW,54,16,29,45,-23,10,14,2,0,0,13,16,0,182,8.8,1077.0,19:57,2.9,0.8,3.7,10,10,1,0,100.0
Andreas Athanasiou,28.0,C,81,20,20,40,-29,34,17,3,0,4,16,4,0,175,11.4,1296.0,16:00,2.2,0.9,3.1,44,43,81,93,46.6
Taylor Raddysh,24.0,RW,78,20,17,37,-28,16,13,7,0,1,9,8,0,129,15.5,1292.0,16:34,1.9,0.9,2.8,38,82,10,9,52.6
Tyler Johnson,32.0,C,56,12,20,32,-21,16,8,4,0,0,15,5,0,125,9.6,928.0,16:34,1.7,0.6,2.3,25,49,58,55,51.3
Jonathan Toews,34.0,C,53,15,16,31,-31,43,6,9,0,1,13,3,0,87,17.2,939.0,17:43,1.9,0.3,2.1,23,9,594,347,63.1
Jason Dickinson,27.0,C,78,9,21,30,-29,28,8,1,0,1,17,0,4,114,7.9,1243.0,15:56,0.3,0.8,1.1,80,112,368,403,47.7
Philipp Kurashev,23.0,C,70,9,16,25,-32,14,9,0,0,2,12,4,0,116,7.8,1219.0,17:25,-0.1,0.7,0.5,34,38,85,105,44.7
Sam Lafferty,27.0,C,51,10,11,21,-10,28,6,0,4,1,10,0,1,83,12.0,771.0,15:07,0.9,0.8,1.6,21,94,219,199,52.4
Boris Katchouk,24.0,LW,58,5,11,16,-10,27,5,0,0,2,10,0,1,68,7.4,701.0,12:05,0.1,0.7,0.8,15,85,3,12,20.0
Lukas Reichel,20.0,LW,23,7,8,15,-8,6,7,0,0,0,5,3,0,42,16.7,376.0,16:22,1.1,0.3,1.4,15,7,5,8,38.5
Jujhar Khaira,28.0,LW,51,6,8,14,-11,31,4,1,1,0,7,1,0,59,10.2,708.0,13:53,0.0,0.7,0.6,40,108,154,164,48.4
Mackenzie Entwistle,23.0,RW,66,4,6,10,-11,14,4,0,0,0,5,1,0,50,8.0,787.0,11:55,-0.8,0.8,-0.1,28,126,93,107,46.5
Colin Blackwell,29.0,C,53,2,8,10,-16,6,2,0,0,0,7,0,1,53,3.8,625.0,11:48,-0.6,0.4,-0.2,17,49,18,18,50.0
Anders Bjork,26.0,LW,13,2,6,8,4,2,2,0,0,0,6,0,0,14,14.3,184.0,14:09,0.5,0.4,0.9,4,8,0,2,0.0
Joey Anderson,24.0,RW,24,4,2,6,-9,0,4,0,0,1,2,0,0,28,14.3,310.0,12:56,0.1,0.1,0.2,11,19,0,2,0.0
Cole Guttman,23.0,C,14,4,2,6,1,2,4,0,0,1,2,0,0,26,15.4,204.0,14:34,0.4,0.3,0.7,8,4,88,81,52.1
Buddy Robinson,31.0,RW,9,1,2,3,1,4,1,0,0,0,2,0,0,13,7.7,106.0,11:46,0.1,0.2,0.3,3,15,1,4,20.0
Austin Wagner,25.0,LW,7,1,1,2,-2,0,1,0,0,1,1,0,0,13,7.7,85.0,12:08,0.1,0.1,0.1,1,19,0,0,
Dave Gust,28.0,RW,4,1,0,1,-2,2,1,0,0,0,0,0,0,7,14.3,57.0,14:12,0.0,0.0,0.0,1,3,0,0,
Brett Seney,26.0,LW,7,1,0,1,-2,2,1,0,0,0,0,0,0,9,11.1,92.0,13:08,-0.1,0.1,0.0,4,11,5,8,38.5
Mike Hardman,23.0,RW,8,0,0,0,-2,0,0,0,0,0,0,0,0,7,0.0,81.0,10:10,-0.2,0.0,-0.2,6,25,6,4,60.0
