Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1.0,David Pastrňák,26.0,RW,82,61,52,113,34.0,38,43,18,0,13,33,19,0,407,15.0,1604.0,19:34,12.1,2.9,15.1,33,91,8,11,42.1
2.0,Brad Marchand,34.0,LW,73,21,46,67,27.0,74,12,9,0,4,25,20,1,183,11.5,1353.0,18:32,4.6,2.4,7.0,22,81,22,35,38.6
3.0,Patrice Bergeron,37.0,C,78,27,31,58,35.0,22,16,9,2,7,21,10,0,249,10.8,1357.0,17:24,4.3,2.7,7.0,54,66,1043,663,61.1
4.0,Pavel Zacha,25.0,C,82,21,36,57,26.0,16,18,3,0,3,30,5,1,131,16.0,1317.0,16:03,3.8,2.3,6.1,21,67,134,162,45.3
5.0,David Krejčí,36.0,C,70,16,40,56,23.0,20,12,4,0,2,32,8,0,112,14.3,1204.0,17:12,3.5,2.1,5.6,38,41,351,389,47.4
6.0,Hampus Lindholm,29.0,D,80,10,43,53,49.0,56,9,1,0,2,27,16,0,158,6.3,1855.0,23:11,3.7,7.2,10.9,100,78,0,0,
7.0,Charlie McAvoy,25.0,D,67,7,45,52,29.0,54,5,2,0,2,28,17,0,105,6.7,1494.0,22:18,3.8,5.0,8.8,131,84,0,0,
8.0,Jake DeBrusk,26.0,LW,64,27,23,50,26.0,16,21,6,0,6,14,8,1,191,14.1,1074.0,16:47,4.3,2.1,6.4,22,85,4,11,26.7
9.0,Charlie Coyle,30.0,C,82,16,29,45,29.0,30,15,0,1,0,25,0,4,139,11.5,1393.0,16:59,1.9,2.5,4.5,63,68,536,483,52.6
10.0,Taylor Hall,31.0,LW,61,16,20,36,11.0,24,12,4,0,5,16,4,0,150,10.7,972.0,15:56,2.2,1.4,3.7,33,35,4,5,44.4
11.0,Trent Frederic,24.0,C,79,17,14,31,28.0,57,17,0,0,6,13,0,1,120,14.2,942.0,11:55,1.9,2.0,4.0,36,105,24,48,33.3
