Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
David Pastrňák,26.0,RW,82,61,52,113,34.0,38,43,18,0,13,33,19,0,407,15.0,1604.0,19:34,12.1,2.9,15.1,33,91,8,11,42.1
Brad Marchand,34.0,LW,73,21,46,67,27.0,74,12,9,0,4,25,20,1,183,11.5,1353.0,18:32,4.6,2.4,7.0,22,81,22,35,38.6
Patrice Bergeron,37.0,C,78,27,31,58,35.0,22,16,9,2,7,21,10,0,249,10.8,1357.0,17:24,4.3,2.7,7.0,54,66,1043,663,61.1
Pavel Zacha,25.0,C,82,21,36,57,26.0,16,18,3,0,3,30,5,1,131,16.0,1317.0,16:03,3.8,2.3,6.1,21,67,134,162,45.3
David Krejčí,36.0,C,70,16,40,56,23.0,20,12,4,0,2,32,8,0,112,14.3,1204.0,17:12,3.5,2.1,5.6,38,41,351,389,47.4
Jake DeBrusk,26.0,LW,64,27,23,50,26.0,16,21,6,0,6,14,8,1,191,14.1,1074.0,16:47,4.3,2.1,6.4,22,85,4,11,26.7
Charlie Coyle,30.0,C,82,16,29,45,29.0,30,15,0,1,0,25,0,4,139,11.5,1393.0,16:59,1.9,2.5,4.5,63,68,536,483,52.6
Taylor Hall,31.0,LW,61,16,20,36,11.0,24,12,4,0,5,16,4,0,150,10.7,972.0,15:56,2.2,1.4,3.7,33,35,4,5,44.4
Trent Frederic,24.0,C,79,17,14,31,28.0,57,17,0,0,6,13,0,1,120,14.2,942.0,11:55,1.9,2.0,4.0,36,105,24,48,33.3
Nick Foligno,35.0,LW,60,10,16,26,18.0,45,8,2,0,1,13,3,0,71,14.1,742.0,12:22,1.4,1.4,2.8,29,147,40,32,55.6
Tomáš Nosek,30.0,C,66,7,11,18,9.0,48,5,0,2,1,11,0,0,69,10.1,828.0,12:33,0.1,1.2,1.3,31,69,354,243,59.3
Tyler Bertuzzi,27.0,LW,21,4,12,16,4.0,6,1,3,0,0,10,2,0,45,8.9,347.0,16:30,0.9,0.5,1.5,7,27,2,10,16.7
A.J. Greer,26.0,LW,61,5,7,12,9.0,114,5,0,0,1,7,0,0,66,7.6,556.0,9:07,0.1,0.9,1.0,25,101,2,1,66.7
Craig Smith,33.0,C,42,4,6,10,4.0,14,4,0,0,0,5,1,0,51,7.8,431.0,10:15,0.1,0.6,0.7,8,33,1,5,16.7
Jakub Lauko,22.0,C,23,4,3,7,2.0,11,4,0,0,1,3,0,0,17,23.5,204.0,8:52,0.5,0.3,0.8,6,44,0,4,0.0
Garnet Hathaway,31.0,RW,25,4,2,6,-1.0,17,4,0,0,2,1,0,1,18,22.2,277.0,11:04,0.2,0.3,0.4,18,70,0,3,0.0
Oskar Steen,24.0,C,3,1,0,1,0.0,0,1,0,0,0,0,0,0,5,20.0,27.0,9:09,0.1,0.0,0.1,0,3,0,1,0.0
Joona Koppanen,24.0,LW,5,0,1,1,0.0,4,0,0,0,0,1,0,0,2,0.0,54.0,10:50,-0.1,0.1,0.0,2,8,25,19,56.8
Vinni Lettieri,27.0,C,1,0,0,0,-1.0,0,0,0,0,0,0,0,0,1,0.0,10.0,9:50,0.0,0.0,-0.1,0,3,0,1,0.0
Jack Studnicka,23.0,C,1,0,0,0,-1.0,4,0,0,0,0,0,0,0,0,,8.0,8:01,0.0,0.0,-0.1,0,0,0,2,0.0
Chris Wagner,31.0,C,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,13.0,12:36,0.0,0.0,0.0,1,6,1,3,25.0
