Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
Magnus Hellberg,31.0,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,876.0,51:33,0.0,0.0,1.5,0,0,0,0,
Ville Husso,27.0,G,56,0,0,0,0,0,0,0,0,0,0,0,0,0,,3220.0,57:30,0.0,0.0,7.7,0,0,0,0,
Alex Nedeljkovic,27.0,G,15,0,0,0,0,2,0,0,0,0,0,0,0,0,,833.0,55:31,0.0,0.0,2.2,0,0,0,0,
