Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
Nick Suzuki,23.0,C,82,26,40,66,-13,33,16,7,3,2,30,10,0,162,16.0,1730.0,21:06,4.0,1.5,5.4,56,50,663,738,47.3
Kirby Dach,22.0,C,58,14,24,38,-2,43,8,6,0,2,12,10,2,107,13.1,1073.0,18:30,2.0,1.1,3.1,38,53,87,140,38.3
Cole Caufield,22.0,RW,46,26,10,36,-10,2,19,7,0,3,7,3,0,158,16.5,830.0,18:03,3.6,0.6,4.2,12,18,0,0,
Mike Hoffman,33.0,C,67,14,20,34,-10,28,13,1,0,3,11,9,0,148,9.5,1050.0,15:40,1.7,0.8,2.5,24,24,16,12,57.1
Josh Anderson,28.0,RW,69,21,11,32,-8,72,16,4,1,5,11,0,0,164,12.8,1170.0,16:58,1.8,1.0,2.8,49,139,19,25,43.2
Jonathan Drouin,27.0,LW,58,2,27,29,-18,18,2,0,0,0,18,9,0,69,2.9,865.0,14:54,0.6,0.3,0.9,23,29,169,211,44.5
Christian Dvorak,26.0,C,64,10,18,28,-12,6,9,0,1,1,15,3,0,88,11.4,1079.0,16:52,0.6,0.8,1.4,66,13,477,440,52.0
Rafaël Harvey-Pinard,24.0,LW,34,14,6,20,7,10,9,4,1,1,6,0,0,58,24.1,586.0,17:14,1.6,0.9,2.5,56,57,0,1,0.0
Jake Evans,26.0,C,54,2,17,19,-5,28,1,1,0,0,15,0,2,55,3.6,782.0,14:29,-0.2,0.7,0.5,41,27,338,312,52.0
Evgenii Dadonov,33.0,RW,50,4,14,18,-10,16,4,0,0,0,10,4,0,72,5.6,727.0,14:32,0.1,0.4,0.5,33,19,2,6,25.0
Sean Monahan,28.0,C,25,6,11,17,-5,16,5,1,0,0,8,3,0,55,10.9,434.0,17:22,1.0,0.3,1.3,8,10,177,144,55.1
Jesse Ylönen,23.0,RW,37,6,10,16,-11,0,5,1,0,1,10,0,0,43,14.0,498.0,13:27,0.7,0.2,0.9,28,14,3,3,50.0
Michael Pezzetta,24.0,C,63,7,8,15,-4,77,7,0,0,0,7,1,0,70,10.0,587.0,9:19,0.5,0.5,1.0,28,239,8,12,40.0
Rem Pitlick,25.0,C,46,6,9,15,-15,22,5,1,0,1,8,0,1,30,20.0,594.0,12:55,0.4,0.1,0.5,18,23,25,33,43.1
Brendan Gallagher,30.0,RW,37,8,6,14,-5,45,8,0,0,2,4,2,0,93,8.6,528.0,14:17,0.6,0.4,1.0,13,18,6,11,35.3
Joel Armia,29.0,RW,43,7,7,14,-7,22,6,0,1,0,6,1,0,69,10.1,643.0,14:57,0.2,0.5,0.7,25,37,3,6,33.3
Juraj Slafkovsky,18.0,LW,39,4,6,10,-13,33,3,1,0,0,5,1,0,42,9.5,476.0,12:13,0.0,0.1,0.1,24,53,5,5,50.0
Denis Gurianov,25.0,RW,23,5,3,8,-7,6,4,1,0,0,2,1,0,46,10.9,349.0,15:11,0.3,0.1,0.4,10,20,0,1,0.0
Chris Tierney,28.0,C,23,1,6,7,-7,4,1,0,0,0,5,0,1,13,7.7,281.0,12:13,0.0,0.1,0.0,14,4,84,103,44.9
Anthony Richard,26.0,C,13,3,2,5,2,6,3,0,0,1,2,0,0,13,23.1,129.0,9:58,0.4,0.2,0.6,3,25,1,3,25.0
Sean Farrell,21.0,C,6,1,0,1,-2,0,1,0,0,0,0,0,0,8,12.5,83.0,13:52,0.0,0.0,0.0,2,0,0,0,
Owen Beck,18.0,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10.0,9:48,0.0,0.0,-0.1,1,0,1,2,33.3
