Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
10.0,David Savard,32.0,D,62,3,17,20,-14,40,3,0,0,1,16,0,1,63,4.8,1388.0,22:23,0.5,1.8,2.3,176,61,0,0,
25.0,Joel Edmundson,29.0,D,61,2,11,13,-29,58,2,0,0,0,10,0,1,69,2.9,1194.0,19:34,0.0,0.3,0.3,149,112,0,0,
15.0,Jordan Harris,22.0,D,65,4,13,17,-3,26,4,0,0,0,12,1,0,70,5.7,1212.0,18:39,0.5,2.2,2.7,98,53,0,0,
20.0,Johnathan Kovacevic,25.0,D,77,3,12,15,3,39,3,0,0,0,12,0,0,92,3.3,1341.0,17:25,0.1,2.9,3.0,86,93,0,0,
5.0,Mike Matheson,28.0,D,48,8,26,34,7,33,8,0,0,2,15,9,2,126,6.3,1174.0,24:27,2.6,2.8,5.4,80,53,0,0,
13.0,Kaiden Guhle,21.0,D,44,4,14,18,-19,27,4,0,0,0,14,0,0,48,8.3,903.0,20:31,1.0,0.4,1.4,77,84,0,0,
8.0,Christian Dvorak,26.0,C,64,10,18,28,-12,6,9,0,1,1,15,3,0,88,11.4,1079.0,16:52,0.6,0.8,1.4,66,13,477,440,52.0
1.0,Nick Suzuki,23.0,C,82,26,40,66,-13,33,16,7,3,2,30,10,0,162,16.0,1730.0,21:06,4.0,1.5,5.4,56,50,663,738,47.3
9.0,Rafaël Harvey-Pinard,24.0,LW,34,14,6,20,7,10,9,4,1,1,6,0,0,58,24.1,586.0,17:14,1.6,0.9,2.5,56,57,0,1,0.0
29.0,Chris Wideman,33.0,D,46,0,6,6,-6,81,0,0,0,0,4,2,0,31,0.0,622.0,13:31,-0.2,0.8,0.6,51,25,0,0,
6.0,Josh Anderson,28.0,RW,69,21,11,32,-8,72,16,4,1,5,11,0,0,164,12.8,1170.0,16:58,1.8,1.0,2.8,49,139,19,25,43.2
24.0,Arber Xhekaj,22.0,D,51,5,8,13,-9,101,3,2,0,0,7,1,0,75,6.7,779.0,15:16,0.8,0.9,1.7,46,159,0,0,
11.0,Jake Evans,26.0,C,54,2,17,19,-5,28,1,1,0,0,15,0,2,55,3.6,782.0,14:29,-0.2,0.7,0.5,41,27,338,312,52.0
2.0,Kirby Dach,22.0,C,58,14,24,38,-2,43,8,6,0,2,12,10,2,107,13.1,1073.0,18:30,2.0,1.1,3.1,38,53,87,140,38.3
19.0,Justin Barron,21.0,D,39,4,11,15,-2,20,2,1,1,1,10,1,0,40,10.0,636.0,16:18,1.0,1.1,2.2,38,49,0,0,
12.0,Evgenii Dadonov,33.0,RW,50,4,14,18,-10,16,4,0,0,0,10,4,0,72,5.6,727.0,14:32,0.1,0.4,0.5,33,19,2,6,25.0
16.0,Jesse Ylönen,23.0,RW,37,6,10,16,-11,0,5,1,0,1,10,0,0,43,14.0,498.0,13:27,0.7,0.2,0.9,28,14,3,3,50.0
17.0,Michael Pezzetta,24.0,C,63,7,8,15,-4,77,7,0,0,0,7,1,0,70,10.0,587.0,9:19,0.5,0.5,1.0,28,239,8,12,40.0
22.0,Joel Armia,29.0,RW,43,7,7,14,-7,22,6,0,1,0,6,1,0,69,10.1,643.0,14:57,0.2,0.5,0.7,25,37,3,6,33.3
