Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
26.0,Juraj Slafkovsky,18.0,LW,39,4,6,10,-13,33,3,1,0,0,5,1,0,42,9.5,476.0,12:13,0.0,0.1,0.1,24,53,5,5,50.0
4.0,Mike Hoffman,33.0,C,67,14,20,34,-10,28,13,1,0,3,11,9,0,148,9.5,1050.0,15:40,1.7,0.8,2.5,24,24,16,12,57.1
7.0,Jonathan Drouin,27.0,LW,58,2,27,29,-18,18,2,0,0,0,18,9,0,69,2.9,865.0,14:54,0.6,0.3,0.9,23,29,169,211,44.5
23.0,Alex Belzile,31.0,F,31,6,8,14,0,13,6,0,0,0,8,0,0,40,15.0,376.0,12:08,0.9,0.4,1.3,22,27,96,109,46.8
18.0,Rem Pitlick,25.0,C,46,6,9,15,-15,22,5,1,0,1,8,0,1,30,20.0,594.0,12:55,0.4,0.1,0.5,18,23,25,33,43.1
28.0,Chris Tierney,28.0,C,23,1,6,7,-7,4,1,0,0,0,5,0,1,13,7.7,281.0,12:13,0.0,0.1,0.0,14,4,84,103,44.9
21.0,Brendan Gallagher,30.0,RW,37,8,6,14,-5,45,8,0,0,2,4,2,0,93,8.6,528.0,14:17,0.6,0.4,1.0,13,18,6,11,35.3
34.0,Corey Schueneman,27.0,D,7,0,1,1,1,0,0,0,0,0,1,0,0,8,0.0,103.0,14:42,0.0,0.3,0.2,12,4,0,0,
3.0,Cole Caufield,22.0,RW,46,26,10,36,-10,2,19,7,0,3,7,3,0,158,16.5,830.0,18:03,3.6,0.6,4.2,12,18,0,0,
27.0,Denis Gurianov,25.0,RW,23,5,3,8,-7,6,4,1,0,0,2,1,0,46,10.9,349.0,15:11,0.3,0.1,0.4,10,20,0,1,0.0
14.0,Sean Monahan,28.0,C,25,6,11,17,-5,16,5,1,0,0,8,3,0,55,10.9,434.0,17:22,1.0,0.3,1.3,8,10,177,144,55.1
30.0,Anthony Richard,26.0,C,13,3,2,5,2,6,3,0,0,1,2,0,0,13,23.1,129.0,9:58,0.4,0.2,0.6,3,25,1,3,25.0
32.0,Sean Farrell,21.0,C,6,1,0,1,-2,0,1,0,0,0,0,0,0,8,12.5,83.0,13:52,0.0,0.0,0.0,2,0,0,0,
36.0,Frédéric Allard,25.0,D,3,0,0,0,2,0,0,0,0,0,0,0,0,6,0.0,42.0,13:51,-0.1,0.2,0.2,2,0,0,0,
35.0,Joel Teasdale,23.0,F,2,0,1,1,-2,0,0,0,0,0,1,0,0,1,0.0,22.0,10:52,0.0,0.0,0.0,1,2,0,1,0.0
37.0,Owen Beck,18.0,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10.0,9:48,0.0,0.0,-0.1,1,0,1,2,33.3
31.0,Lucas Condotta,25.0,F,1,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,11.0,11:02,0.2,0.0,0.2,0,3,4,3,57.1
33.0,Jake Allen,32.0,G,42,0,1,1,0,2,0,0,0,0,1,0,0,0,,2450.0,58:21,0.0,0.0,5.8,0,0,0,0,
38.0,Sam Montembeault,26.0,G,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,2334.0,58:21,0.0,0.0,7.2,0,0,0,0,
39.0,Cayden Primeau,23.0,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,139.0,46:12,0.0,0.0,0.0,0,0,0,0,
,Team Total,,,82,227,384,611,-227,927,181,38,8,26,303,71,10,2237,10.1,,,27.0,24.6,64.7,1410,1597,2184,2321,48.5
